SongID,Movie,Song,Artist
109,Henry: Portrait of A Serial Killer,Too Old for These Blues ,Kid Tater and The Cheaters 
110,Henry: Portrait of A Serial Killer,LeLania,Kid Tater and The Cheaters 
111,Henry: Portrait of A Serial Killer,Lavalite Waltz ,Dan Haberkorn 
112,Henry: Portrait of A Serial Killer,Waiting in the Garden ,Brisance
113,Henry: Portrait of A Serial Killer,Fingers on It ,Enough Z'Nuff
114,Henry: Portrait of A Serial Killer,Callin' Colleen ,Kid Tater and The Cheaters 
115,Henry: Portrait of A Serial Killer,Don't You Know ,Fawn
116,Henry: Portrait of A Serial Killer,Jukin,Kid Tater and The Cheaters 
117,Henry: Portrait of A Serial Killer,There's Another Girl ,Kid Tater and The Cheaters 
118,Henry: Portrait of A Serial Killer,Psycho,The Sonics 
119,Henry: Portrait of A Serial Killer,Morning Dew ,Fawn
120,Henry: Portrait of A Serial Killer,My Mistake ,Lynne and the Lizards 
121,Henry: Portrait of A Serial Killer,No Father in the Family ,E.I.E.I.O. 
122,Kalifornia,Look Up to the Sky ,The Indians 
123,Kalifornia,Deep,East 17 
124,Kalifornia,No One Said It Would Be Easy ,Sheryl Crow 
125,Kalifornia,Born for Love ,David Baerwald 
126,Kalifornia,Unfulfilled ,Quicksand 
127,Kalifornia,Do You Need Some? ,Mind Bomb
128,Kalifornia,When You Come Back ,Drivin' 'N' Cryin' 
129,Kalifornia,89 Lines ,Daniel O'Brien 
130,Kalifornia,Seven Days ,Hugh Harris 
131,Kalifornia,Playin' in the Dirt ,Heather Myles 
132,Kalifornia,Lettuce and Vodka ,X 
133,Kalifornia,I Love the World ,The Indians 
134,Kalifornia,Are You Strong Enough ,Sheryl Crow 
135,Kalifornia,Come Home ,Pere Ubu 
136,Kalifornia,Dive Bomber ,The Soup Dragons 
137,Kalifornia,(Get Your Kicks on) Route 66 ,Asleep at the Wheel 
138,Kalifornia,Symphony No. 8 in F Major Op. 93 ,Ludwig van Beethoven 
139,Kalifornia,Accelerator,Therapy? 
140,Kalifornia,Freebird,Lynyrd Skynyrd
141,Killer: A Journal of Murder,BLUEBIRDS,Bill Elliott & His Orchestra 
142,Killer: A Journal of Murder,I LIKE TO PET ,Bill Elliott & His Orchestra 
143,Killer: A Journal of Murder,YOU NEVER CARED ,Bill Elliott & His Orchestra 
144,Killer: A Journal of Murder,I DON'T WANT TO PLAY IN YOUR YARD ,Bill Elliott & His Orchestra 
145,Killer: A Journal of Murder,TONIGHT I'M GOIN' OUT WITH YOU ,Bill Elliott & His Orchestra 
146,Killer: A Journal of Murder,A NICKEL FOR COFFEE ,Bill Elliott & His Orchestra 
147,Killer: A Journal of Murder,WILDWOOD ,Bill Elliott & His Orchestra 
148,Killer: A Journal of Murder,WE TRIED TO REACH FOR THE MOON ,Bill Elliott & His Orchestra 
149,Killer: A Journal of Murder,MY BABY SAID SHE'S MARRY ME ,Bill Elliott & His Orchestra 
150,Monster,All She Wants Is ,Duran Duran 
151,Monster,Space Age Love Song ,A Flock of Seagulls 
152,Monster,Shake Your Groove Thing ,Peaches & Herb 
153,Monster,Tide Is High ,Blondie 
154,Monster,What You Need ,INXS 
155,Monster,Don't Stop Believin' ,Journey
156,Monster,Sugar and Spice ,The Searchers 
157,Monster,Secret Crush On You ,Al Gross 
158,Monster,Where Do I Begin ,The Chemical Brothers 
159,Monster,Flirtin' With Disaster ,Molly Hatchet 
160,Monster,Crimson and Clover ,Tommy James & The Shondells 
161,Monster,Keep on Loving You ,REO Speedwagon 
162,Monster,Crazy Girl ,Molly Pasutti 
163,Monster,Do You Wanna Touch Me (Oh Yeah) ,Jett and The Blackhearts
164,Monster,A Road Runner: Road Runner's 'G' Jam ,Humble Pie 
165,Monster,Sweet Peace and Time ,Humble Pie 
166,Monster,Lemon Balm and Chamomile ,BT featuring Che Malcolm 
167,My Friend Dahmer,5-7-0-5,City Boy
168,My Friend Dahmer,You've Got Me,Zeus
169,My Friend Dahmer,There's No Doubt from Bridge,Bridge
170,My Friend Dahmer,Semper Fidelis,Bert Ferntheil
171,My Friend Dahmer,Falling Out Of Love With Love ,Jay Ramsey
172,My Friend Dahmer,Angel of the Wilderness,Craig Marsden
173,My Friend Dahmer,Deal for Yourself,Faustus
174,My Friend Dahmer,Another Lonely Night,Len Boone
175,My Friend Dahmer,Goodbye to You,Slyder
176,My Friend Dahmer,Animal Speaks,15-60-75 (The Numbers Band)
177,My Friend Dahmer,Walking the Course,Tony Kinsey
178,My Friend Dahmer,Petal on a Wind ,Basil Kirchin & Jack Nathan
179,My Friend Dahmer,Mixed Doubles,Tony Kinsey
